date,updown
2020-01-12,False
2020-01-12,False
2020-01-20,False
2020-02-06,False
2020-02-06,False
2020-02-17,False
2020-02-18,True
2020-02-18,True
2020-02-21,False
2020-02-27,False
2020-03-03,True
2020-03-04,False
2020-03-05,False
2020-03-12,False
2020-03-13,
2020-03-16,False
2020-03-18,False
2020-03-19,True
2020-03-20,
2020-03-20,
2020-03-20,
2020-03-20,
2020-03-20,
2020-03-26,True
2020-03-28,True
2020-04-16,
2020-01-01,
2020-01-01,
2020-01-01,
2020-01-01,
2020-01-01,
2020-01-01,
2020-01-01,
2020-01-01,
2020-01-01,
2020-01-02,
2020-01-02,
2020-01-02,
2020-01-02,
2020-01-02,
2020-01-02,
2020-01-03,
2020-01-03,
2020-01-03,
2020-01-04,
2020-01-04,
2020-01-04,
2020-01-05,True
2020-01-05,True
2020-01-05,True
2020-01-05,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-06,True
2020-01-07,False
2020-01-07,False
2020-01-07,False
2020-01-07,False
2020-01-07,False
2020-01-07,False
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-08,True
2020-01-09,True
2020-01-09,True
2020-01-09,True
2020-01-09,True
2020-01-09,True
2020-01-09,True
2020-01-09,True
2020-01-09,True
2020-01-10,False
2020-01-10,False
2020-01-10,False
2020-01-11,True
2020-01-11,True
2020-01-12,False
2020-01-12,False
2020-01-12,False
2020-01-12,False
2020-01-12,False
2020-01-12,False
2020-01-12,False
2020-01-12,False
2020-01-12,False
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-13,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-14,
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-15,True
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-16,False
2020-01-17,False
2020-01-17,False
2020-01-17,False
2020-01-17,False
2020-01-17,False
2020-01-17,False
2020-01-17,False
2020-01-17,False
2020-01-18,False
2020-01-18,False
2020-01-18,False
2020-01-18,False
2020-01-19,False
2020-01-19,False
2020-01-19,False
2020-01-19,False
2020-01-19,False
2020-01-19,False
2020-01-19,False
2020-01-19,False
2020-01-19,False
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-20,True
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-21,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-22,False
2020-01-23,
2020-01-23,
